"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-25 12:30:00",154,1020.889,24.49,23.89,2.803,35.5,61.29,24.7,27.39
"2016-06-25 13:00:00",155,1020.561,24.35,22.37,3.038,52.76,51.74,24.74,25.5
"2016-06-25 13:30:00",156,1020.378,25.59,21.09,2.508,0.474,83.9,25.37,24.09
"2016-06-25 14:00:00",157,1020.082,26.08,20.44,2.738,113,49.03,25.93,23.66
"2016-06-25 14:30:00",158,1019.747,26.41,21.06,2.446,263.3,77.37,25.74,23.71
"2016-06-25 15:00:00",159,1019.442,25.83,22.2,3.076,97.4,47.09,26.23,25.15
"2016-06-25 15:30:00",160,1019.02,25.93,23.3,3.534,99.4,38.4,26.41,26.31
"2016-06-25 16:00:00",161,1018.834,25.43,24.24,3.27,98.1,28.89,26.09,27.16
"2016-06-25 16:30:00",162,1018.559,26.27,23.12,2.257,52.65,45.76,26.52,26.57
"2016-06-25 17:00:00",163,1018.352,26.06,23.13,2.278,27.86,57.04,26.23,26.37
"2016-06-25 17:30:00",164,1018.135,25.61,24.28,2.592,39.55,37.93,25.85,27.92
"2016-06-25 18:00:00",165,1018.126,25.73,24.89,1.466,44.28,52.81,25.8,28.76
"2016-06-25 18:30:00",166,1018.113,24.97,26.08,2.206,52.79,22.93,25.36,29.73
"2016-06-25 19:00:00",167,1018.055,24.78,26.71,0.896,63.36,38.74,24.88,30.82
"2016-06-25 19:30:00",168,1018.034,23.9,30.26,1.244,124.5,40.87,23.93,35.02
"2016-06-25 20:00:00",169,1018.183,22.81,33.71,2.351,205,15.77,22.04,40.25
"2016-06-25 20:30:00",170,1018.386,21.66,36.17,2.615,202,17.93,21.13,42.09
"2016-06-25 21:00:00",171,1018.629,20.43,38.71,2.57,226.9,4.379,19.84,45.71
"2016-06-25 21:30:00",172,1018.737,19.3,40.82,3.389,230.7,5.104,18.81,48.07
"2016-06-25 22:00:00",173,1018.857,18.61,41.47,3.098,239.9,9.19,18.8,46.99
"2016-06-25 22:30:00",174,1018.936,18.02,42.42,2.984,246.1,8.05,18.15,48.43
"2016-06-25 23:00:00",175,1019.143,17.36,44.05,2.758,235.9,7.469,17.35,50.74
"2016-06-25 23:30:00",176,1019.276,16.77,45.8,2.22,231.7,7.049,16.39,53.8
"2016-06-26 00:00:00",177,1019.454,16.03,49.63,1.648,237.4,9.76,15.45,58.86
"2016-06-26 00:30:00",178,1019.567,15.25,53.8,2.166,236.7,5.789,15.01,63.08
"2016-06-26 01:00:00",179,1019.625,14.48,56.8,2.739,238.6,7.328,14.46,66.08
"2016-06-26 01:30:00",180,1019.785,13.95,58.89,2.499,239.9,6.336,13.96,68.55
"2016-06-26 02:00:00",181,1019.93,13.48,61.21,2.282,236.2,5.329,13.4,71.87
"2016-06-26 02:30:00",182,1019.958,13.11,62.81,2.314,237.6,4.09,12.86,74.3
"2016-06-26 03:00:00",183,1020.074,12.59,64.34,2.581,239.4,6.269,12.36,76.24
"2016-06-26 03:30:00",184,1020.344,12.15,65.82,2.391,238.6,5.278,12.05,77.59
"2016-06-26 04:00:00",185,1020.588,11.85,66.69,2.398,238.6,6.112,11.68,79.08
"2016-06-26 04:30:00",186,1020.873,11.71,67.83,2.828,242.1,4.576,11.51,79
"2016-06-26 05:00:00",187,1021.203,13.84,65.18,1.807,242.1,12.75,12.96,73.69
"2016-06-26 05:30:00",188,1021.388,16.37,58.69,0.433,254.2,32.72,14.3,70.33
"2016-06-26 06:00:00",189,1021.455,17,53.87,0.728,129.3,89.8,15.08,67.56
"2016-06-26 06:30:00",190,1021.521,16.53,53.57,0.77,40.85,49.75,15.3,67.56
"2016-06-26 07:00:00",191,1021.626,17.47,50.89,1.208,105.5,57.29,16.38,63.45
"2016-06-26 07:30:00",192,1021.785,19.02,46.41,1.465,137.7,25.89,17.69,57.51
"2016-06-26 08:00:00",193,1021.718,19.74,42.67,1.724,132.2,35.81,18.85,52.73
"2016-06-26 08:30:00",194,1021.66,20.37,41.04,2.113,126,28.22,19.64,50.1
"2016-06-26 09:00:00",195,1021.588,21.46,38.02,1.951,123.1,38.37,20.78,46.39
"2016-06-26 09:30:00",196,1021.277,23.12,34.81,1.85,136.3,37.6,22.34,42.11
"2016-06-26 10:00:00",197,1021.058,24.06,32.13,2.088,115.1,56.01,23.53,38.38
"2016-06-26 10:30:00",198,1020.802,25.22,28.39,2.5,146.8,31.17,24.77,33.15
"2016-06-26 11:00:00",199,1020.46,25.8,26.13,2.432,87.9,41.74,26,29.82
"2016-06-26 11:30:00",200,1020.176,26.71,24.26,2.758,114.3,37.63,27.15,27.09
"2016-06-26 12:00:00",201,1019.93,28.05,22.48,3.005,146.6,21.6,28.1,25.09
"2016-06-26 12:30:00",202,1019.796,29.21,21.7,2.126,190.4,55.72,28.5,24.56
"2016-06-26 13:00:00",203,1019.47,29.5,20.34,1.917,116.2,82.2,29.14,22.74
"2016-06-26 13:30:00",204,1019.16,30.65,18.71,2.177,175.8,65.71,30.01,20.87
"2016-06-26 14:00:00",205,1018.902,30.11,18.55,2.01,117.3,55.5,30.13,20.54
"2016-06-26 14:30:00",206,1018.594,30.31,18.88,2.018,92.1,74.69,30.37,20.84
"2016-06-26 15:00:00",207,1018.236,30.4,19.2,1.934,70.08,55.34,30.63,21.18
"2016-06-26 15:30:00",208,1017.914,30.42,19.43,2.395,110.6,49.54,30.68,21.34
"2016-06-26 16:00:00",209,1017.651,30.36,19.18,2.087,37.7,47.12,30.75,20.76
"2016-06-26 16:30:00",210,1017.51,30.35,19,2.05,67.55,33.78,30.86,20.57
"2016-06-26 17:00:00",211,1017.449,30.17,18.94,1.904,95.6,34.13,30.59,20.54
"2016-06-26 17:30:00",212,1017.272,30.21,19.29,1.999,112.1,31.51,30.61,20.93
"2016-06-26 18:00:00",213,1017.207,29.92,19.98,1.806,67.13,36.97,30.36,21.57
"2016-06-26 18:30:00",214,1017.352,29.59,20.21,1.739,59.62,22.18,30.02,21.63
"2016-06-26 19:00:00",215,1017.379,29.28,20.64,0.94,92.5,37.06,29.49,22.33
"2016-06-26 19:30:00",216,1017.35,28.77,21.74,1.288,218.6,27.74,28.49,24.03
"2016-06-26 20:00:00",217,1017.411,26.88,24.83,3.034,226.2,3.147,26.11,28.4
"2016-06-26 20:30:00",218,1017.55,24.68,28.04,4.428,228.6,2.986,24.09,31.69
"2016-06-26 21:00:00",219,1017.766,23.57,30.51,4.743,231.8,3.935,23.51,33.79
